,id,titulo,artista,Est_animo,tiempo,genero,tipo_artista,fecha,duracionSeg,top,anioNacimiento,edad_en_billboard,Est_animo_cod,tiempo_cod,genero_cod,tipo_artista_cod,edad_cod,duracion_cod
0,0,Small Town Throwdown,BRANTLEY GILBERT featuring JUSTIN MOORE & THOMAS RHETT,Brooding,Medium Tempo,Traditional,Male,20140628,191.0,0,1975.0,39,4,2,2,3,3.0,2.0
1,1,Bang Bang,JESSIE J ARIANA GRANDE & NICKI MINAJ,Energizing,Medium Tempo,Pop,Female,20140816,368.0,0,1989.0,25,6,2,3,2,1.0,6.0
2,2,Timber,PITBULL featuring KE$HA,Excited,Medium Tempo,Urban,Mixed,20140118,223.0,1,1993.0,21,5,2,4,1,0.0,3.0
3,3,Sweater Weather,THE NEIGHBOURHOOD,Brooding,Medium Tempo,Alternative & Punk,Male,20140104,206.0,0,1989.0,25,4,2,1,3,1.0,2.0
4,4,Automatic,MIRANDA LAMBERT,Yearning,Medium Tempo,Traditional,Female,20140301,232.0,0,,25,4,2,2,2,1.0,3.0
5,5,Where Is At (Yep Yep),DUSTIN LYNCH,Upbeat,Medium Tempo,Traditional,Male,20140531,219.0,0,1990.0,24,5,2,2,3,1.0,3.0
6,6,Single Ladies (Put A Ring On It),BEYONCE,Cool,Slow Tempo,Urban,Female,20081213,43.0,1,1981.0,27,5,1,4,2,2.0,0.0
7,7,Me And My Broken Heart,RIXTON,Urgent,Fast Tempo,Pop,Male,20140412,557.0,0,1973.0,41,3,0,3,3,4.0,6.0
8,8,I Luh Ya Papi,JENNIFER LOPEZ featuring FRENCH MONTANA,Aggressive,Medium Tempo,Urban,Female,20140329,182.0,0,1969.0,45,4,2,4,2,4.0,2.0
9,9,Chocolate,THE 1975,Yearning,Medium Tempo,Alternative & Punk,Male,20140208,347.0,0,,23,4,2,1,3,1.0,6.0
10,10,Fancy,IGGY AZALEA featuring CHARLI XCX,Energizing,Medium Tempo,Urban,Female,20140607,197.0,1,1974.0,40,6,2,4,2,3.0,2.0
11,11,Take Me To Church,HOZIER,Sophisticated,Medium Tempo,Alternative & Punk,Male,20140830,223.0,0,,24,4,2,1,3,1.0,3.0
